extraction_number,paper,subject,predicate,object,source_section,confidence,passage,sentence_ref
118,paper1,VillagesNearMandiStreamCommunity,HIGHPREFERENCETOMANDILANGUAGE,BengaliMainstreamCommunity,Page 11,High,(VillagesNearMandiStreamCommunity)-[:HIGHPREFERENCETOMANDILANGUAGE]->(BengaliMainstreamCommunity),"However, the village near the big Mandi stream community still has a high preference to use Mandi compared to that village with the Bengali mainstream community."" (Page X)"
119,paper1,People above 35,HIGHER,Use and maintenance of Mandi language,Page 130,High,(People above 35)-[:HIGHER]->(Use and maintenance of Mandi language),The use and maintenance...
120,paper1,Villages near big Mandi stream,HIGHER.PREFERENCE,Preference for Mandi compared to villages with Bengali mainstream community,Page 130,High,(Villages near big Mandi stream)-[:HIGHER.PREFERENCE]->(Preference for Mandi compared to villages with Bengali mainstream community),The village near the big Mandi stream community still has a high preference to use Mandi compared to that village with the Bengali mainstream community.
121,paper1,Participants in Bengali mainstream community,HIGHER_CHANCE,Lose Mandi because their young generation knows Bangla better,Page 130,High,(Participants in Bengali mainstream community)-[:HIGHER_CHANCE]->(Lose Mandi because their young generation knows Bangla better),The participants who are living with the Bengali mainstream community have a high chance of losing their Mandi one day because their young generation knows Bangla better due to the influence of the mainstream Bangla language.
122,paper1,Participants,USES,"Mandi, Bangla and English Mixed",Page 12,High,"(Participants)-[:USES]->(Mandi, Bangla and English Mixed)",Example 7 (M1)
123,paper1,Participants,USES,Mandi,Page 12,High,(Participants)-[:USES]->(Mandi),Example 8 (F2)
124,paper1,Participants,USES,Bangla,Page 12,High,(Participants)-[:USES]->(Bangla),Example 11 (F3)
125,paper1,Participants,USES,Bengali,Page 12,High,(Participants)-[:USES]->(Bengali),Example 10 (M1)
126,paper1,Participants,USES,Mixed language including Bangla,Page 12,High,(Participants)-[:USES]->(Mixed language including Bangla),Example 12 (M4)
127,paper1,Participants,PREFERRED_LANGUAGE,Bangla,Page 12,High,(Participants)-[:PREFERRED_LANGUAGE]->(Bangla),Example 13(F5)
128,paper1,Participants,USES_LANGUAGE,Bangla,Page 13,High,(Participants)-[:USES_LANGUAGE]->(Bangla),"The above examples demonstrate that the participants use Bangla in their workplace."" (Page X)"
129,paper1,People living near Bengali community,HAVE_SOCIAL_NETWORK,Bengali and Mandi communities,Page 13,High,(People living near Bengali community)-[:HAVE_SOCIAL_NETWORK]->(Bengali and Mandi communities),"The interview data also describe that people who live near the Bengali mainstream community have a strong social network with both Bengali and Mandi communities."" (Page X)"
130,paper1,People in larger Mandi communities,HAVE_SOCIAL_NETWORK,Mandi community only,Page 13,High,(People in larger Mandi communities)-[:HAVE_SOCIAL_NETWORK]->(Mandi community only),"In contrast, the people who live in larger Mandi communities have a robust social network only with the members of the Mandi community."" (Page X)"
131,paper1,Informants,BEING_CONNECTED_TO,Mandi community,Page 13,High,(Informants)-[:BEING_CONNECTED_TO]->(Mandi community),"It is also noticeable here that the young generation is more involved in the community than the old generation when they live close to the Mandi concentrated areas. Mandi people love to stay with their community members, although it is always impossible due to their job purpose."" (Page X)"
132,paper1,Participants aged above 35,STAY_WITH_MANDICOLONUMENTS,Mandi areas,Page 13,High,(Participants aged above 35)-[:STAY_WITH_MANDICOLONUMENTS]->(Mandi areas),"Findings of this study show that the extent of using Mandi language in the social or friendship domain is not as high as in the family domain."" (Page X)"
133,paper1,Participants aged above 35,SPEAK_LITERALLY,Mandi with Mandi co-workers,Page 13,High,(Participants aged above 35)-[:SPEAK_LITERALLY]->(Mandi with Mandi co-workers),"Participants who do the job in capital or other different places across the country, their situation is like highly educated people who speak Bangla or English with their colleagues."" (Page X)"
134,paper1,Participants not living locally,SPEAK_BANGLA_OR_ENGLISH_WITH_COLLEAGUES,Mandi friends use Mandi,Page 13,High,(Participants not living locally)-[:SPEAK_BANGLA_OR_ENGLISH_WITH_COLLEAGUES]->(Mandi friends use Mandi),"If they have a Mandi colleague, they speak Mandi or if they talk with Mandi friends, they use Mandi language."" (Page X)"
135,paper1,Highly educated Mandi people,GREET_IN_MANDI,Workplace,Page 13,High,(Highly educated Mandi people)-[:GREET_IN_MANDI]->(Workplace),"This study further shows that participants who are aged below 35 spend their time with Mandi friends and communicate in Mandi if they live close to the Mandi concentrated areas, but they do not have difficulty in socialising with Bengali friends as almost all of them are bilingual."" (Page X)"
136,paper1,Younger generation,SPEAK_IN_MANDI_WITH_MANDI FRIENDS,Close to Bengali areas,Page 13,High,(Younger generation)-[:SPEAK_IN_MANDI_WITH_MANDI FRIENDS]->(Close to Bengali areas),"This study further shows that participants who are aged below 35 spend their time with Mandi friends and communicate in Mandi if they live close to the Mandi concentrated areas, but they do not have difficulty in socialising with Bengali friends as almost all of them are bilingual."" (Page X)"
137,paper1,Younger generation,ALMOST_BILINGUAL,Close to Bengali areas,Page 13,High,(Younger generation)-[:ALMOST_BILINGUAL]->(Close to Bengali areas),"This study further shows that participants who are aged below 35 spend their time with Mandi friends and communicate in Mandi if they live close to the Mandi concentrated areas, but they do not have difficulty in socialising with Bengali friends as almost all of them are bilingual."" (Page X)"
138,paper1,Younger generation,SPEAK_IN_MANDI_WITH_MANDI FRIENDS,Not near Bengali areas,Page 13,High,(Younger generation)-[:SPEAK_IN_MANDI_WITH_MANDI FRIENDS]->(Not near Bengali areas),"Findings of this study show that the extent of using Mandi language in the social or friendship domain is not as high as in the family domain."" (Page X)"
139,paper1,GaroWomen,ARE(INTERACTION MOSTLY IN),Bangla,Page 1,High,(GaroWomen)-[:ARE(INTERACTION MOSTLY IN)]->(Bangla),Language maintenance among Garo community members...
140,paper1,GaroWomen,BECOME_FLUENTS_IN,Mandi,Page 1,High,(GaroWomen)-[:BECOME_FLUENTS_IN]->(Mandi),"They have to use Bangla throughout the entire school time, eventually making them fluent in Bangla rather than Mandi."
141,paper1,GaroWomen,SOCIAL_NETWORK_FILLED_WITH,Bengali_people,Page 1,High,(GaroWomen)-[:SOCIAL_NETWORK_FILLED_WITH]->(Bengali_people),As their children go to mainstream schools where the medium of instruction is Bangla...
142,paper1,GaroWomen,ARE_CONSCIOUS_OF_USING,Mandi,Page 1,High,(GaroWomen)-[:ARE_CONSCIOUS_OF_USING]->(Mandi),"Some parents, however, make them conscious of using Mandi while some have accepted the language shift to Bangla as usual..."
143,paper1,GaroWomen,ACCEPT_SHIFT_TO,Bangla,Page 1,High,(GaroWomen)-[:ACCEPT_SHIFT_TO]->(Bangla),"Some parents, however, make them conscious of using Mandi while some have accepted the language shift to Bangla as usual..."
144,paper1,GaroWomen,COMMUNITY_SUPPORT_FOR_RETAINING,Ethnic_language,Page 1,High,(GaroWomen)-[:COMMUNITY_SUPPORT_FOR_RETAINING]->(Ethnic_language),Language use in this domain proves the community support and willingness of the participants to retain their ethnic language despite the influence of mainstream language.
145,paper1,GaroWomen,NOT USED_IN,Mandi,Page 14,High,(GaroWomen)-[:NOT USED_IN]->(Mandi),"Mandi language is used neither in their religious institution nor their religious practices."" (Page 6.3)"
146,paper1,GaroWomen,NOT USED_IN,Religious_institutions,Page 14,High,(GaroWomen)-[:NOT USED_IN]->(Religious_institutions),"Mandi language is used neither in their religious institution nor their religious practices."" (Page 6.3)"
147,paper1,GaroWomen,NOT USED_IN,Religious_practices,Page 14,High,(GaroWomen)-[:NOT USED_IN]->(Religious_practices),"Mandi language is used neither in their religious institution nor their religious practices."" (Page 6.3)"
148,paper1,GaroWomen,USE,Bangla,Page 14,High,(GaroWomen)-[:USE]->(Bangla),"We use Mandi in our own way, but we use Bangla in performing our religious rituals and prayers."" (Page 6.3)"
149,paper1,We,DO,Prayers at our home,Page 14,High,(We)-[:DO]->(Prayers at our home),NO_REFERENCE
150,paper1,We,DO,Prayers in church,Page 14,High,(We)-[:DO]->(Prayers in church),NO_REFERENCE
151,paper1,We,USE,Bangla as prayer language,Page 14,High,(We)-[:USE]->(Bangla as prayer language),NO_REFERENCE
152,paper1,We,PREFER,Bangla over Mandi,Page 14,High,(We)-[:PREFER]->(Bangla over Mandi),NO_REFERENCE
153,paper1,Mandi,ARE_PRACTICED_LITTLE,We,Page 14,High,(Mandi)-[:ARE_PRACTICED_LITTLE]->(We),NO_REFERENCE
154,paper1,Mandi people,USE,Bangla,Page 15,High,(Mandi people)-[:USE]->(Bangla),Example 16 (F5)
155,paper1,Mandi people,USE,Evening prayers in Bangla,Page 15,High,(Mandi people)-[:USE]->(Evening prayers in Bangla),Example 17 (F6)
156,paper1,Mandi people,USE,Bangla script for religious purposes,Page 15,High,(Mandi people)-[:USE]->(Bangla script for religious purposes),Example 17 (F6)
157,paper1,Mandi,ARE_KNOWN_AS,Language,Page 15,High,(Mandi)-[:ARE_KNOWN_AS]->(Language),"performing religious activities, and they do it through their language, Mandi."" (Page X)"
158,paper1,Mandi,MENTIONED_IN,Maintenance,Page 15,High,(Mandi)-[:MENTIONED_IN]->(Maintenance),"To conclude, the maintenance of the Mandi language in the religious domain is very limited compared to the family domain and friendship domain."" (Page X)"
159,paper1,Clyne_and_Kipp_1999,STATE,Garot_Language_Proficiency,Page 16,High,(Clyne_and_Kipp_1999)-[:STATE]->(Garot_Language_Proficiency),"Clyne and Kipp (1999) state that media consumption significantly correlates with the second generation's community language proficiency level. In the case of the Garo language, they do not have rich audio, video documents, or other sources among the first generation."" (Page X)"
160,paper1,Garo_People,HAVE_LITERACY_RATE,90%,Page 16,High,(Garo_People)-[:HAVE_LITERACY_RATE]->(90%),"Garo people have a literacy rate of 90%, but it is based on the Bengali education system. Almost all Garo can speak Bangla and write their name in the Bangla language."" (Page X)"
161,paper1,Garo_People,CAN_SPEAK_AND_UNDERSTAND,Mandi_Language,Page 16,High,(Garo_People)-[:CAN_SPEAK_AND_UNDERSTAND]->(Mandi_Language),"Only one female interviewee aged above 35 said she could read and write Mandi, while other participants informed that they could not read and write their Mandi language."" (Page X)"
162,paper1,Garo_People,CANNOT_READ_AND_WRITE,Mandi_Language,Page 16,High,(Garo_People)-[:CANNOT_READ_AND_WRITE]->(Mandi_Language),"However, some families are taking individual initiatives to organise religious programs and rituals in Mandi at their home every Sunday, which day is only a great day to maintain the Mandi language in the religious domain. This also proves the willingness of participants to preserve their language by using it in religious practices."" (Page X)"
163,paper1,Garo_People,USE_SOCIAL_MEDIA,Preservation_of_Cultural_Diversity,Page 16,High,(Garo_People)-[:USE_SOCIAL_MEDIA]->(Preservation_of_Cultural_Diversity),"On Indigenous Day some cultural programs have been telecasted on BTV. Otherwise, they do not have media. It can be print media or soft media. Participants of this study argued that nowadays, some young generation aged below 35 are using social media like YouTube and Facebook and developing cultural groups based on Mandi language and culture to save their culture and language from extinction."" (Page X)"
164,paper1,Garo_People,CAN_READ_AND_WRITE,Mandi_Language,Page 16,High,(Garo_People)-[:CAN_READ_AND_WRITE]->(Mandi_Language),"One female interviewee aged above 35 said she could read and write Mandi, while other participants informed that they could not read and write their Mandi language."" (Page X)"
165,paper1,Mandi,CAN_NOT_READ_WRITE,Language,Page 1,High,(Mandi)-[:CAN_NOT_READ_WRITE]->(Language),could not read and write Mandi and also there were no resources to read and write Mandi.
166,paper1,Mandi,NO_RESOURCE_AVAIABLE,Reading_and_Writing_Skills,Page 1,High,(Mandi)-[:NO_RESOURCE_AVAIABLE]->(Reading_and_Writing_Skills),could not read and write Mandi and also there were no resources to read and write Mandi.
167,paper1,Mandi,NO_MORE_NOVEL_COLLEGE_WRITERS,Language,Page 2,High,(Mandi)-[:NO_MORE_NOVEL_COLLEGE_WRITERS]->(Language),No more novel column writers are found based on Mandi language.
168,paper1,Mandi,MAINTENANCE_IS_NOT_SATISFACTORY,Satisfactory,Page 3,High,(Mandi)-[:MAINTENANCE_IS_NOT_SATISFACTORY]->(Satisfactory),"In this domain, the maintenance of Mandi is not satisfactory because everyone wants to improve their Bangla language skills..."
169,paper1,Bangla_Language_skills,PROMOTED_VIA_GARO INITIATIVES,Literacy_rate_increased,Page 3,High,(Bangla_Language_skills)-[:PROMOTED_VIA_GARO INITIATIVES]->(Literacy_rate_increased),"In this domain, the maintenance of Mandi is not satisfactory because everyone wants to improve their Bangla language skills..."
170,paper1,LinguisticResearch,CONTRIBUTES_TO,Language_Maintenance,Page 7,High,(LinguisticResearch)-[:CONTRIBUTES_TO]->(Language_Maintenance),"This study contributes to the existing research on language maintenance, providing an overall picture of Mandi language maintenance..."
171,paper1,Mandi_Language,IS_USED_BY,People_Aged_Below_and_Above_35_Living_in_Mandi_Community_Near_Mandi_Stream_or_Bengali_Stream_Community,Page 7,High,(Mandi_Language)-[:IS_USED_BY]->(People_Aged_Below_and_Above_35_Living_in_Mandi_Community_Near_Mandi_Stream_or_Bengali_Stream_Community),It has been found that the family domain is important to maintain the language. Mandi language usage is the first choice and preference of the people aged below and above 35...
172,paper1,Parents_in_Garo_Language,HAVE_MORE_POSITIVE_ATTITUDES_TOWARD,Their_Children_Still_Speak_in_the_Garo_Language_with_their_Parents,Page 7,High,(Parents_in_Garo_Language)-[:HAVE_MORE_POSITIVE_ATTITUDES_TOWARD]->(Their_Children_Still_Speak_in_the_Garo_Language_with_their_Parents),Some parents strictly maintain their child’s language at home while others are pensive or passive about it.
173,paper1,Garo_People_Living_Away_from_Garo_Villages_or_Ethnic_Based_Villages,FACED_LANGUAGE_MAINTENANCE_PROBLEMS,Language_Maintenance,Page 7,High,(Garo_People_Living_Away_from_Garo_Villages_or_Ethnic_Based_Villages)-[:FACED_LANGUAGE_MAINTENANCE_PROBLEMS]->(Language_Maintenance),The young generation and educated guardians start emphasizing Bangla and the English language to enjoy a better life...
174,paper1,Young_Generations_Living_Near_Bengali_Stream_Community,PREFERR TO_USE_BANGLA_INSTEAD_OF_MANDI_IN_DAILY_SOCIAL INTERACTION,Language_Maintenance,Page 7,High,(Young_Generations_Living_Near_Bengali_Stream_Community)-[:PREFERR TO_USE_BANGLA_INSTEAD_OF_MANDI_IN_DAILY_SOCIAL INTERACTION]->(Language_Maintenance),"On the other hand, Garo people with a big Mandi stream community still have an excellent chance to use Mandi in their environment..."
175,paper1,Garo_Families_Living_in_Bengali_Stream_Community,PREFERR TO_USE_BANGLA_INSTEAD_OF_MANDI,Language_Maintenance,Page 7,High,(Garo_Families_Living_in_Bengali_Stream_Community)-[:PREFERR TO_USE_BANGLA_INSTEAD_OF_MANDI]->(Language_Maintenance),"The older generations keep trying to maintain their language, but sometimes it seems unsuccessful."
176,paper1,Awareness_of_Mother_Tongue_Maintenance,SHOULD_BE ENCOURAGED,Community,Page 7,High,(Awareness_of_Mother_Tongue_Maintenance)-[:SHOULD_BE ENCOURAGED]->(Community),Awareness of maintaining the mother tongue should be encouraged throughout the community by the stakeholders and elderly community members...
177,paper1,CommunityMembers,ARE_STARTED_BEFORE,Language_Education,Page 1,High,(CommunityMembers)-[:ARE_STARTED_BEFORE]->(Language_Education),ly
178,paper1,FutureResearch,NEEDS_FURTHERMORE,SecondGenerationGaroCommunityPeople,Page 2,High,(FutureResearch)-[:NEEDS_FURTHERMORE]->(SecondGenerationGaroCommunityPeople),"community members, which should be started very shortly before its complete shift to the dominant language."
179,paper1,Data,HAS_LIMITATIONS,Parents_SelfReports,Page 3,High,(Data)-[:HAS_LIMITATIONS]->(Parents_SelfReports),Although this study's sample size (19 interviews) could be considered a small consideration for generalizability.
180,paper1,StudySampleSize,HAS_SMALL_SAMPLE_SIZE,SmallSampleSize,Page 17,High,(StudySampleSize)-[:HAS_SMALL_SAMPLE_SIZE]->(SmallSampleSize),"ly"" (Page X)"
181,paper1,Study,HAS_BROADERED_OUR_UNDERSTANDING,Understanding of Mandi language maintenance,Page 18,High,(Study)-[:HAS_BROADERED_OUR_UNDERSTANDING]->(Understanding of Mandi language maintenance),NO_REFERENCE
182,paper1,Garo Speakers Concentration,INFLUENCES,Language Maintenance,Page 18,High,(Garo Speakers Concentration)-[:INFLUENCES]->(Language Maintenance),NO_REFERENCE
183,paper1,Research,INDICATES,Language Maintenance Strongly Maintained by Older Generations,Page 18,High,(Research)-[:INDICATES]->(Language Maintenance Strongly Maintained by Older Generations),NO_REFERENCE
184,paper1,Mother,INFLUENCES,Language Use in Many Households,Page 18,High,(Mother)-[:INFLUENCES]->(Language Use in Many Households),NO_REFERENCE
185,paper1,High Density of Ethnic Community Members,DRIVING_FORCE,Language Maintenance,Page 18,High,(High Density of Ethnic Community Members)-[:DRIVING_FORCE]->(Language Maintenance),NO_REFERENCE
186,paper1,Official Use of Bangla,RESTRICTS,Use of Garo in Public Settings,Page 18,High,(Official Use of Bangla)-[:RESTRICTS]->(Use of Garo in Public Settings),NO_REFERENCE
187,paper1,Government of Bangladesh,PUBLISHED BOOKS,Five Languages Including Garo and Sadri,Page 18,High,(Government of Bangladesh)-[:PUBLISHED BOOKS]->(Five Languages Including Garo and Sadri),NO_REFERENCE
188,paper1,Government Recommendations,LEADS_TO,Accelerating Garo Language Maintenance,Page 18,High,(Government Recommendations)-[:LEADS_TO]->(Accelerating Garo Language Maintenance),NO_REFERENCE
189,paper1,state language policy,ARE_PROVIDED_WITH,pre-primary education,Page 18,High,(state language policy)-[:ARE_PROVIDED_WITH]->(pre-primary education),"of the key recommendations of the policy is to provide all children with pre-primary..."" Page X."
190,paper1,state language policy,ARE_EXPANDED_TO,compulsory education up to grade 8,Page 18,High,(state language policy)-[:ARE_EXPANDED_TO]->(compulsory education up to grade 8),"same as above, but since it's one sentence, perhaps combine them or treat as separate triples if possible."
191,paper1,government initiatives,ARE_HOPEFULABOUT,sustenance of Garo language,Page 18,High,(government initiatives)-[:ARE_HOPEFULABOUT]->(sustenance of Garo language),"Participants of this study are hopeful..."" Page X."
192,paper1,Santali Cluster,KNOWN_AS,Garo and Other Groups,Page 19,High,(Santali Cluster)-[:KNOWN_AS]->(Garo and Other Groups),"Reference: Ahmed et al., 2010; Bal, 2007; Borchgrevink & McNeish, 2007; Brightbill et al., 2007; Burling, 1963; Cavallaro & Rahman, 2009 | Page: 3"
193,paper1,Garo,KNOWN_AS,Ethnic Group in Bangladesh,Page 19,High,(Garo)-[:KNOWN_AS]->(Ethnic Group in Bangladesh),"Reference: Ahmed et al., 2010; Bal, 2007; Brightbill et al., 2007; Burling, 1963; Cavallaro & Rahman, 2009 | Page: 4"
194,paper1,Indigenous Peoples,KNOWN_AS,Partnerships between Norway and Ethnographic Missions,Page 19,High,(Indigenous Peoples)-[:KNOWN_AS]->(Partnerships between Norway and Ethnographic Missions),"Reference: Borchgrevink & McNeish, 2007 | Page: 5"
195,paper1,War-Jaintia,KNOWN_AS,Sociolinguistic Survey in Bangladesh,Page 19,High,(War-Jaintia)-[:KNOWN_AS]->(Sociolinguistic Survey in Bangladesh),"Reference: Brightbill et al., 2007 | Page: 6"
196,paper1,Garo,KNOWN_AS,Indigenous Languages of Bangladesh,Page 19,High,(Garo)-[:KNOWN_AS]->(Indigenous Languages of Bangladesh),"Reference: Burling, 1963; Burling, 2003; Burling, 2004 | Page: 7-8"
197,paper1,Garo,KNOWN_AS,Analytic Study of Kinship Terms in Garo,Page 19,High,(Garo)-[:KNOWN_AS]->(Analytic Study of Kinship Terms in Garo),"Reference: Burling, 2003; Burling, 2004 | Page: 7-8"
198,paper1,Santals,KNOWN_AS,Ethnic Group in Bangladesh,Page 19,High,(Santals)-[:KNOWN_AS]->(Ethnic Group in Bangladesh),"Reference: Cavallaro & Rahman, 2009 | Page: 9"
199,paper1,Community Languages,KNOWN_AS,Multilingualism and Bilinguality,Page 19,High,(Community Languages)-[:KNOWN_AS]->(Multilingualism and Bilinguality),"Reference: Clyne, 1991 | Page: 10"
200,paper1,Pluricentric Languages,KNOWN_AS,Language Policies Among Multicultural Communities,Page 19,High,(Pluricentric Languages)-[:KNOWN_AS]->(Language Policies Among Multicultural Communities),"Reference: Clyne & Kipp, 1999 | Page: 11"
201,paper1,Garo,KNOWN_AS,Ethnic Group with Psycho-Social Dimensions,Page 19,High,(Garo)-[:KNOWN_AS]->(Ethnic Group with Psycho-Social Dimensions),"Reference: Das et al., 2005 | Page: 12"
202,paper1,Language Use,KNOWN_AS,Sociolinguistic Study of Language Distribution,Page 19,High,(Language Use)-[:KNOWN_AS]->(Sociolinguistic Study of Language Distribution),"Reference: Fishman, 1965 | Page: 13"
203,paper1,Language Policy,KNOWN_AS,Influence on Education and Culture in Bangladesh,Page 19,High,(Language Policy)-[:KNOWN_AS]->(Influence on Education and Culture in Bangladesh),"Reference: Hossain & Tollefson, 2007 | Page: 14"
204,paper1,Language Shift,KNOWN_AS,Social Networks and Language Change Among Migrants,Page 19,High,(Language Shift)-[:KNOWN_AS]->(Social Networks and Language Change Among Migrants),"Reference: Hulsen et al., 2002 | Page: 15"
205,paper1,UNESCO,CELEBRATES,Power of Mother Languages,Page 20,High,(UNESCO)-[:CELEBRATES]->(Power of Mother Languages),"Retrieved from 139"" (Page X)"
206,paper1,Article,BASSED_ON,MA Thesis,Page 21,High,(Article)-[:BASSED_ON]->(MA Thesis),"This article was based on the research data from the second author’s unpublished MA thesis supervised by the first author."" (Page X)"
207,paper1,SecondAuthor,THANKED,"Institute of Modern Languages, University of Chittagong, Bangladesh",Page 21,High,"(SecondAuthor)-[:THANKED]->(Institute of Modern Languages, University of Chittagong, Bangladesh)","She would like to thank the Institute of Modern Languages, University of Chittagong, Bangladesh, for assisting her in conducting her MA research project."" (Page X)"
208,paper1,Male,ARE_KNOWN_AS,Deputy Commissioner,Page 22,High,(Male)-[:ARE_KNOWN_AS]->(Deputy Commissioner),M 60-65 Deputy Commissioner Christian Haluaghat
209,paper1,Female,ARE_KNOWN_AS,Teacher,Page 22,High,(Female)-[:ARE_KNOWN_AS]->(Teacher),F 50-55 Teacher Christian Phulpur
210,paper1,Male,ARE_KNOWN_AS,NGO Employee,Page 22,High,(Male)-[:ARE_KNOWN_AS]->(NGO Employee),M 65-70 NGO employee Christian Phulpur
211,paper1,Male,ARE_KNOWN_AS,Managing Director,Page 22,High,(Male)-[:ARE_KNOWN_AS]->(Managing Director),M 60-65 Managing Director Christian Hauaghat
212,paper1,Male,ARE_KNOWN_AS,Electrician,Page 22,High,(Male)-[:ARE_KNOWN_AS]->(Electrician),M 55-60 Electrician Christian Phulpur
213,paper1,Female,ARE_KNOWN_AS,Personal Assistant,Page 22,High,(Female)-[:ARE_KNOWN_AS]->(Personal Assistant),F 45-50 Personal Assistant Christian Haluaghat
214,paper1,Female,ARE_KNOWN_AS,Sister,Page 22,High,(Female)-[:ARE_KNOWN_AS]->(Sister),F 30-35 Sister Christian Haluaghat
215,paper1,Male,ARE_KNOWN_AS,Retired,Page 22,High,(Male)-[:ARE_KNOWN_AS]->(Retired),M 70-75 Retired Christian Phulpur
216,paper1,Female,ARE_KNOWN_AS,Housewife,Page 22,High,(Female)-[:ARE_KNOWN_AS]->(Housewife),F 30-35 Housewife Christian Phulpur
217,paper1,Male,ARE_KNOWN_AS,Unemployee,Page 22,High,(Male)-[:ARE_KNOWN_AS]->(Unemployee),M 30-35 Unemployee Christian Phupur
218,paper1,Male,ARE_KNOWN_AS,Student,Page 22,High,(Male)-[:ARE_KNOWN_AS]->(Student),M 20-25 Student Christian Phulpur
219,paper1,Female,ARE_KNOWN_AS,Student,Page 22,High,(Female)-[:ARE_KNOWN_AS]->(Student),F 20-25 Student Christian Haluaghat
220,paper1,Male,ARE_KNOWN_AS,Farmer,Page 22,High,(Male)-[:ARE_KNOWN_AS]->(Farmer),M 70-75 Farmer Christian Phulpur
221,paper1,Female,ARE_KNOWN_AS,Farmer,Page 22,High,(Female)-[:ARE_KNOWN_AS]->(Farmer),F 70-75 Farmer Christian Phulpur
222,paper1,Female,ARE_KNOWN_AS,Retired,Page 22,High,(Female)-[:ARE_KNOWN_AS]->(Retired),F 75-80 Retired Christian Phulpur
